E14000534,"Arundel and South Downs","Andrew Griffith",None,None,None
E14000540,"Barking","Margaret Hodge",https://twitter.com/margarethodge,http://www.epolitix.com/EN/MPWebsites/Margaret+Hodge,https://facebook.com/MargaretHodgeBarking
E14000543,"Barrow and Furness","Simon Fell",None,None,None
E14000544,"Basildon and Billericay","John Baron",None,http://www.johnbaron.co.uk/,None
E14000549,"Battersea","Marsha de Cordova",https://twitter.com/Marshadecordova,http://marshadecordova.co.uk/,https://facebook.com/marsha4battersea
E14000550,"Beaconsfield","Joy Morrissey",None,None,None
E14000553,"Bermondsey and Old Southwark","Neil Coyle",https://twitter.com/coyleneil,None,https://facebook.com/NeilCoyleMP
E14000556,"Beverley and Holderness","Graham Stuart",https://twitter.com/grahamstuart,None,https://facebook.com/grahamstuartmp
E14000559,"Birkenhead","Mick Whitley",None,None,None
E14000572,"Blackpool North and Cleveleys","Paul Maynard",https://twitter.com/PaulMaynardMP,None,https://facebook.com/paulmaynardBNC
E14000573,"Blackpool South","Scott Benton",None,None,None
E14000582,"Boston and Skegness","Matt Warman",https://twitter.com/mattwarman,None,https://facebook.com/WarmanforBostonSkegness
E14000584,"Bournemouth East","Tobias Ellwood",https://twitter.com/Tobias_Ellwood,https://www.tobiasellwood.com/,https://facebook.com/TobiasEllwood
E14000585,"Bournemouth West","Conor Burns",https://twitter.com/ConorBurnsUK,https://www.conorburns.com/,https://facebook.com/conorburnsuk
E14000594,"Brentwood and Ongar","Alex Burghart",https://twitter.com/alexburghart,None,None
E14000595,"Bridgwater and West Somerset","Ian Liddell-Grainger",None,http://www.somersetwest.org.uk/,https://facebook.com/ianliddellgrainger
E14000598,"Brighton, Pavilion","Caroline Lucas",https://twitter.com/CarolineLucas,None,https://facebook.com/carolinelucas.page
E14000600,"Bristol North West","Darren Jones",https://twitter.com/darrenpjones,None,https://facebook.com/darrenjonesmp
E14000620,"Carlisle","John Stevenson",https://twitter.com/JohnStevensonMP,None,https://facebook.com/JohnStevensonCarlisle
E14000624,"Central Suffolk and North Ipswich","Daniel Poulter",https://twitter.com/drdanpoulter,None,None
E14000628,"Chelmsford","Vicky Ford",https://twitter.com/vickyford,https://www.vickyford.uk/,https://facebook.com/Vicky4Chelmsford
E14000633,"Chichester","Gillian Keegan",https://twitter.com/GillianKeegan,None,None
E14000638,"Christchurch","Christopher Chope",None,https://www.chrischope.com/,None
E14000643,"Cleethorpes","Martin Vickers",https://twitter.com/martinvickers,None,https://facebook.com/MartinVickersMP
E14000644,"Colchester","Will Quince",https://twitter.com/willquince,None,https://facebook.com/willquincecolchester
E14000647,"Copeland","Trudy Harrison",None,None,None
E14000652,"Crawley","Henry Smith",https://twitter.com/HenrySmithUK,None,https://facebook.com/henrysmithmp
E14000657,"Dagenham and Rainham","Jon Cruddas",https://twitter.com/JonCruddas_1,http://joncruddas.org.uk/,https://facebook.com/JonCruddas
E14000677,"Easington","Grahame Morris",https://twitter.com/grahamemorris,None,https://facebook.com/grahame.morris
E14000679,"East Ham","Stephen Timms",https://twitter.com/stephenctimms,http://www.stephentimms.org.uk/,https://facebook.com/stephenctimms
E14000681,"East Surrey","Claire Coutinho",None,None,None
E14000682,"East Worthing and Shoreham","Tim Loughton",https://twitter.com/timloughton,http://www.timloughton.com,https://facebook.com/TimLoughtonEWAS
E14000683,"East Yorkshire","Greg Knight",https://twitter.com/gregknightmp,http://www.gregknight.com,None
E14000685,"Eastleigh","Paul Holmes",None,None,None
E14000688,"Ellesmere Port and Neston","Justin Madders",https://twitter.com/justinmadders,None,https://facebook.com/justinmaddersforepn
E14000694,"Epsom and Ewell","Chris Grayling",https://twitter.com/transportgovuk,http://www.chrisgrayling.net,https://facebook.com/Chris.Grayling.Official
E14000697,"Esher and Walton","Dominic Raab",https://twitter.com/DominicRaab,None,None
E14000699,"Fareham","Suella Braverman",https://twitter.com/suellabraverman,https://www.suellafernandes.co.uk/,https://facebook.com/SuellaBravermanOfficial
E14000702,"Filton and Bradley Stoke","Jack Lopresti",https://twitter.com/JackLopresti,None,https://facebook.com/jackloprestiofficial
E14000705,"Forest of Dean","Mark Harper",https://twitter.com/Mark_J_Harper,None,https://facebook.com/mark.harper.fod
E14000706,"Fylde","Mark Menzies",None,None,https://facebook.com/fyldeca
E14000707,"Gainsborough","Edward Leigh",https://twitter.com/EdwardLeighMP,http://www.edwardleigh.org.uk/,None
E14000709,"Gateshead","Ian Mearns",https://twitter.com/IanMearnsMP,http://www.ianmearns.org.uk/,None
E14000716,"Great Grimsby","Lia Nici",None,None,None
E14000717,"Great Yarmouth","Brandon Lewis",https://twitter.com/BrandonLewis,None,https://facebook.com/BrandonKennethLewis
E14000733,"Hartlepool","Jill Mortimer",None,None,None
E14000734,"Harwich and North Essex","Bernard Jenkin",https://twitter.com/bernardjenkin,http://www.bernardjenkinmp.com/,https://facebook.com/bernardjenkin
E14000736,"Havant","Alan Mak",https://twitter.com/AlanMakMP,None,https://facebook.com/AlanMakHavant
E14000742,"Henley","John Howell",https://twitter.com/JHowellUK,None,https://facebook.com/JohnHowellOxfordshire
E14000746,"Hexham","Guy Opperman",https://twitter.com/GuyOpperman,None,https://facebook.com/guyoppermanMP
E14000751,"Hornchurch and Upminster","Julia Lopez",https://twitter.com/JuliaLopezMP,None,None
E14000753,"Horsham","Jeremy Quin",None,None,https://facebook.com/JeremyQuinOfficial
E14000755,"Hove","Peter Kyle",https://twitter.com/peterkyle,None,https://facebook.com/hoveandportslade
E14000761,"Ipswich","Tom Hunt",None,None,None
